101,MURDER & NON-NEGL. MANSLAUGHTE
102,HOMICIDE-NEGLIGENT-VEHICLE
103,"HOMICIDE-NEGLIGENT,UNCLASSIFIE"
104,RAPE
105,ROBBERY
106,FELONY ASSAULT
107,BURGLARY
109,GRAND LARCENY
110,GRAND LARCENY OF MOTOR VEHICLE
111,POSSESSION OF STOLEN PROPERTY
112,THEFT-FRAUD
113,FORGERY
114,ARSON
115,PROSTITUTION & RELATED OFFENSES
116,SEX CRIMES
116,FELONY SEX CRIMES
117,DANGEROUS DRUGS
118,DANGEROUS WEAPONS
119,INTOXICATED/IMPAIRED DRIVING
120,ENDAN WELFARE INCOMP
120,CHILD ABANDONMENT/NON SUPPORT
121,CRIMINAL MISCHIEF & RELATED OF
122,GAMBLING
124,KIDNAPPING & RELATED OFFENSES
124,KIDNAPPING
125,NYS LAWS-UNCLASSIFIED FELONY
125,OTHER STATE LAWS (NON PENAL LA
126,MISCELLANEOUS PENAL LAW
230,JOSTLING
231,BURGLAR'S TOOLS
232,POSSESSION OF STOLEN PROPERTY
233,SEX CRIMES
234,PROSTITUTION & RELATED OFFENSES
235,DANGEROUS DRUGS
236,DANGEROUS WEAPONS
237,ESCAPE 3
238,FRAUDULENT ACCOSTING
250,CANNABIS RELATED OFFENSES
340,FRAUDS
341,PETIT LARCENY
343,OTHER OFFENSES RELATED TO THEF
343,THEFT OF SERVICES
344,ASSAULT 3 & RELATED OFFENSES
345,ENDAN WELFARE INCOMP
345,OFFENSES RELATED TO CHILDREN
346,ALCOHOLIC BEVERAGE CONTROL LAW
347,INTOXICATED & IMPAIRED DRIVING
348,VEHICLE AND TRAFFIC LAWS
349,DISRUPTION OF A RELIGIOUS SERV
350,GAMBLING
351,CRIMINAL MISCHIEF & RELATED OF
352,CRIMINAL TRESPASS
353,UNAUTHORIZED USE OF A VEHICLE
354,ANTICIPATORY OFFENSES
355,OFFENSES AGAINST THE PERSON
356,PROSTITUTION & RELATED OFFENSES
358,OFFENSES INVOLVING FRAUD
359,OFFENSES AGAINST PUBLIC ADMINI
361,OFF. AGNST PUB ORD SENSBLTY &
363,OFFENSES AGAINST PUBLIC SAFETY
364,OTHER STATE LAWS (NON PENAL LA
364,AGRICULTURE & MRKTS LAW-UNCLASSIFIED
364,OTHER STATE LAWS (NON PENAL LAW)
365,ADMINISTRATIVE CODE
455,UNLAWFUL POSS. WEAP. ON SCHOOL
572,DISORDERLY CONDUCT
578,HARRASSMENT 2
675,ADMINISTRATIVE CODE
677,OTHER STATE LAWS
678,MISCELLANEOUS PENAL LAW
685,ADMINISTRATIVE CODES
880,MOVING INFRACTIONS
881,OTHER TRAFFIC INFRACTION
882,PARKING OFFENSES
995,FOR OTHER AUTHORITIES
